Sl No,State/UT,Population
1,Uttar Pradesh,199812341
2,Maharashtra,112374333
3,Bihar,104099452
4,West Bengal,91276115
5,Madhya Pradesh,72626809
6,Tamil Nadu,72147030
7,Rajasthan,68548437
8,Karnataka,61095297
9,Gujarat,60439692
10,Andhra Pradesh,49386799
11,Odisha,41974218
12,Telangana,35193978
13,Kerala,33406061
14,Jharkhand,32988134
15,Assam,31205576
16,Punjab,27743338
17,Chhattisgarh,25545198
18,Haryana,25351462
19,Delhi (UT),16787941
20,Jammu and Kashmir,12541302
21,Uttarakhand,10086292
22,Himachal Pradesh,6864602
23,Tripura,3673917
24,Meghalaya,2966889
25,Manipur,2855794
26,Nagaland,1978502
27,Goa,1458545
28,Arunachal Pradesh,1383727
29,Puducherry (UT),1247953
30,Mizoram,1097206
31,Chandigarh (UT),1055450
32,Sikkim,610577
33,Andaman and Nicobar Islands (UT),380581
34,Dadra and Nagar Haveli (UT),343709
35,Daman and Diu (UT),243247
36,Lakshadweep (UT),64473
–,Total (India),1210854977
